param,metric,corr
idf_acc,overall_acc,0.9611299386539718
idf_acc,overall_precision,0.8237445019749001
idf_acc,loc_median,-0.3704193574303751
loc_mean,overall_acc,-0.8585610966920878
loc_mean,overall_precision,-0.9828583667105717
loc_mean,loc_median,0.5826326587093081
cand_fallback_kernel_add,overall_acc,nan
cand_fallback_kernel_add,overall_precision,nan
cand_fallback_kernel_add,loc_median,nan
cand_fallback_passes,overall_acc,0.5397972949372117
cand_fallback_passes,overall_precision,0.07967183890194758
cand_fallback_passes,loc_median,0.3335186729825351
cand_merge_eps,overall_acc,nan
cand_merge_eps,overall_precision,nan
cand_merge_eps,loc_median,nan
cand_target_raw,overall_acc,-0.31686476941790115
cand_target_raw,overall_precision,-0.10335806127819908
cand_target_raw,loc_median,0.06670373459650702
clahe_clip,overall_acc,nan
clahe_clip,overall_precision,nan
clahe_clip,loc_median,nan
clahe_tiles,overall_acc,nan
clahe_tiles,overall_precision,nan
clahe_tiles,loc_median,nan
contrast_r_inner,overall_acc,nan
contrast_r_inner,overall_precision,nan
contrast_r_inner,loc_median,nan
contrast_r_outer1,overall_acc,nan
contrast_r_outer1,overall_precision,nan
contrast_r_outer1,loc_median,nan
contrast_r_outer2,overall_acc,nan
contrast_r_outer2,overall_precision,nan
contrast_r_outer2,loc_median,nan
dog_sigma1,overall_acc,nan
dog_sigma1,overall_precision,nan
dog_sigma1,loc_median,nan
dog_sigma2,overall_acc,nan
dog_sigma2,overall_precision,nan
dog_sigma2,loc_median,nan
eps,overall_acc,nan
eps,overall_precision,nan
eps,loc_median,nan
id_eta,overall_acc,nan
id_eta,overall_precision,nan
id_eta,loc_median,nan
id_gamma,overall_acc,nan
id_gamma,overall_precision,nan
id_gamma,loc_median,nan
id_lambda,overall_acc,nan
id_lambda,overall_precision,nan
id_lambda,loc_median,nan
iters,overall_acc,nan
iters,overall_precision,nan
iters,loc_median,nan
kernel,overall_acc,nan
kernel,overall_precision,nan
kernel,loc_median,nan
layout_lambda,overall_acc,0.539797294937212
layout_lambda,overall_precision,0.07967183890194761
layout_lambda,loc_median,0.3335186729825352
match_tol,overall_acc,nan
match_tol,overall_precision,nan
match_tol,loc_median,nan
max_area,overall_acc,nan
max_area,overall_precision,nan
max_area,loc_median,nan
max_pool,overall_acc,nan
max_pool,overall_precision,nan
max_pool,loc_median,nan
max_seeds,overall_acc,0.09643710373588309
max_seeds,overall_precision,0.08397842478853637
max_seeds,loc_median,-0.433574274877292
max_seeds_per_pivot,overall_acc,nan
max_seeds_per_pivot,overall_precision,nan
max_seeds_per_pivot,loc_median,nan
median_ksize,overall_acc,nan
median_ksize,overall_precision,nan
median_ksize,loc_median,nan
min_area,overall_acc,nan
min_area,overall_precision,nan
min_area,loc_median,nan
min_circ,overall_acc,nan
min_circ,overall_precision,nan
min_circ,loc_median,nan
min_inliers,overall_acc,nan
min_inliers,overall_precision,nan
min_inliers,loc_median,nan
min_k,overall_acc,nan
min_k,overall_precision,nan
min_k,loc_median,nan
min_kernel,overall_acc,nan
min_kernel,overall_precision,nan
min_kernel,loc_median,nan
min_maxI,overall_acc,nan
min_maxI,overall_precision,nan
min_maxI,loc_median,nan
percentile,overall_acc,nan
percentile,overall_precision,nan
percentile,loc_median,nan
pivot_P,overall_acc,0.09643710373588309
pivot_P,overall_precision,0.08397842478853636
pivot_P,loc_median,-0.43357427487729194
pupil_dark_thresh,overall_acc,nan
pupil_dark_thresh,overall_precision,nan
pupil_dark_thresh,loc_median,nan
pupil_min_area,overall_acc,nan
pupil_min_area,overall_precision,nan
pupil_min_area,loc_median,nan
pupil_rmax,overall_acc,nan
pupil_rmax,overall_precision,nan
pupil_rmax,loc_median,nan
pupil_rmin,overall_acc,nan
pupil_rmin,overall_precision,nan
pupil_rmin,loc_median,nan
pupil_sigma_frac,overall_acc,nan
pupil_sigma_frac,overall_precision,nan
pupil_sigma_frac,loc_median,nan
ratio_tol,overall_acc,0.539797294937212
ratio_tol,overall_precision,0.0796718389019476
ratio_tol,loc_median,0.33351867298253524
ref_width,overall_acc,nan
ref_width,overall_precision,nan
ref_width,loc_median,nan
roi_border_frac,overall_acc,nan
roi_border_frac,overall_precision,nan
roi_border_frac,loc_median,nan
scale_max,overall_acc,nan
scale_max,overall_precision,nan
scale_max,loc_median,nan
scale_min,overall_acc,nan
scale_min,overall_precision,nan
scale_min,loc_median,nan
seed,overall_acc,nan
seed,overall_precision,nan
seed,loc_median,nan
sla_base_ratio_min,overall_acc,nan
sla_base_ratio_min,overall_precision,nan
sla_base_ratio_min,loc_median,nan
sla_layout_lambda,overall_acc,0.9016941660885621
sla_layout_lambda,overall_precision,0.7310041051481105
sla_layout_lambda,loc_median,-0.057767128687872156
sla_ratio_tol_min,overall_acc,nan
sla_ratio_tol_min,overall_precision,nan
sla_ratio_tol_min,loc_median,nan
sla_ratio_tol_refN,overall_acc,nan
sla_ratio_tol_refN,overall_precision,nan
sla_ratio_tol_refN,loc_median,nan
sla_scale_max,overall_acc,nan
sla_scale_max,overall_precision,nan
sla_scale_max,loc_median,nan
sla_scale_min,overall_acc,nan
sla_scale_min,overall_precision,nan
sla_scale_min,loc_median,nan
sla_semantic_lambda,overall_acc,nan
sla_semantic_lambda,overall_precision,nan
sla_semantic_lambda,loc_median,nan
sla_side_margin,overall_acc,nan
sla_side_margin,overall_precision,nan
sla_side_margin,loc_median,nan
sla_top2_margin,overall_acc,nan
sla_top2_margin,overall_precision,nan
sla_top2_margin,loc_median,nan
sla_w_seed_geom,overall_acc,nan
sla_w_seed_geom,overall_precision,nan
sla_w_seed_geom,loc_median,nan
sla_w_seed_score2,overall_acc,nan
sla_w_seed_score2,overall_precision,nan
sla_w_seed_score2,loc_median,nan
support_M,overall_acc,0.539797294937212
support_M,overall_precision,0.0796718389019476
support_M,loc_median,0.3335186729825352
support_tol,overall_acc,0.09643710373588303
support_tol,overall_precision,0.0839784247885364
support_tol,loc_median,-0.433574274877292
support_w,overall_acc,0.09643710373588311
support_w,overall_precision,0.08397842478853636
support_w,loc_median,-0.43357427487729194
vote_M,overall_acc,nan
vote_M,overall_precision,nan
vote_M,loc_median,nan
vote_max_hyp,overall_acc,nan
vote_max_hyp,overall_precision,nan
vote_max_hyp,loc_median,nan
vote_ratio_tol,overall_acc,nan
vote_ratio_tol,overall_precision,nan
vote_ratio_tol,loc_median,nan
vote_w_score2,overall_acc,nan
vote_w_score2,overall_precision,nan
vote_w_score2,loc_median,nan
